City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Inuvik,CA,2022-01-28 16:11:56,68.3499,-133.7218,-33.99,100,26,1.23
251,Puerto Del Rosario,ES,2022-01-28 16:12:05,28.5004,-13.8627,67.75,45,75,10.36
252,Hambantota,LK,2022-01-28 16:14:02,6.1241,81.1185,77.7,84,48,10.8
253,Hasaki,JP,2022-01-28 16:14:02,35.7333,140.8333,32.4,50,99,10.85
254,Liku,ID,2022-01-28 16:14:03,-0.7275,119.8922,75.33,94,100,2.17
255,Grants,US,2022-01-28 16:14:03,35.1473,-107.8514,17.83,79,0,8.05
256,Chapais,CA,2022-01-28 16:14:04,49.7834,-74.8492,-13.07,86,55,4.41
257,Dubbo,AU,2022-01-28 16:14:04,-32.25,148.6167,71.73,83,100,6.91
258,Vanimo,PG,2022-01-28 16:14:04,-2.6741,141.3028,77.61,87,94,3.65
259,Namibe,AO,2022-01-28 16:14:05,-15.1961,12.1522,75.07,77,84,12.08
260,Kontagora,NG,2022-01-28 16:10:53,10.3999,5.4695,93.69,12,61,7.43
261,Adelaide,AU,2022-01-28 16:12:31,-34.9333,138.6,67.48,75,20,3.0
262,Batemans Bay,AU,2022-01-28 16:14:06,-35.7167,150.1833,76.19,88,28,4.34
263,Raeren,BE,2022-01-28 16:14:07,50.6677,6.1168,41.83,75,97,8.01
264,San Francisco,US,2022-01-28 16:09:42,37.7749,-122.4194,55.15,71,75,1.01
265,Vila Franca Do Campo,PT,2022-01-28 16:14:10,37.7167,-25.4333,61.2,77,77,8.95
266,Chibombo,ZM,2022-01-28 16:14:10,-14.6569,28.0706,68.61,93,100,4.34
267,Hudson Bay,CA,2022-01-28 16:14:11,52.85,-102.3842,-0.51,94,94,1.14
268,Bodden Town,KY,2022-01-28 16:14:12,19.2833,-81.25,82.99,62,20,5.99
269,Rio Pomba,BR,2022-01-28 16:14:13,-21.2747,-43.1792,80.83,57,81,8.01
270,Teodoro Sampaio,BR,2022-01-28 16:14:14,-22.5325,-52.1675,73.99,91,100,1.52
271,Ginda,IN,2022-01-28 16:14:14,30.6945,78.4932,39.43,45,0,5.66
272,Kirensk,RU,2022-01-28 16:14:15,57.7853,108.1119,-17.79,100,91,1.48
273,Basco,PH,2022-01-28 16:14:17,20.4487,121.9702,78.78,86,100,23.94
274,Port Augusta,AU,2022-01-28 16:11:25,-32.5,137.7667,71.42,68,77,18.34
275,Ormara,PK,2022-01-28 16:14:18,25.2088,64.6357,70.18,55,0,9.53
276,Concordia,AR,2022-01-28 16:15:20,-31.393,-58.0209,78.87,57,75,8.99
277,Makakilo City,US,2022-01-28 16:15:21,21.3469,-158.0858,69.28,85,0,4.61
278,Arica,CL,2022-01-28 16:15:22,-18.475,-70.3042,80.15,53,0,11.5
279,Nizhniy Tsasuchey,RU,2022-01-28 16:15:27,50.5167,115.1333,-9.94,93,5,6.4
280,Namatanai,PG,2022-01-28 16:15:29,-3.6667,152.4333,79.0,84,95,2.68
281,Ozernovskiy,RU,2022-01-28 16:15:30,51.5,156.5167,23.58,82,100,31.03
